run_id,feedback
2f76b671-a794-4e43-8aec-751e7b56c7e4,M2 is MSc 2nd year
1a154a9e-1c4a-4eda-be53-39df86d36544,"Can't it give several schools, instead of listing 1 schools.."
c1f7a955-2368-44b6-ba23-e385a12c255e,I got programs from one school only and they weren't all Finance programs
0126298f-ae49-47b1-95ec-d3c46a3f8c16,M1 is MSc 1 !! or PGE 2 !
7dce638e-73c2-432a-a1fb-1bb43697a3fe,how come ?\
aed06f0d-5bf3-4cd0-85c7-1197f662f3a6,"It's telling me that this programs is not in the data base, but he just suggested it when i mentioned Excelia !"
5ff2bca1-43af-4e3a-970f-ec44aedac231,"It's not correct, there are so many programs ! MSc Stratégies du Développement durable et de la RSE at Excelia example"
ce52e5f6-18a4-45d6-ae06-69c2a2b692db,"When it can't find programs, it needs to be able to tell it of course and to recommend programs that are close to it or suggestions. Example, we dont have programs Corporate Social Responsibility however, a program in Project management could be good to complement and be able to manage CSR projects in the future"
c63c4275-b3c6-4ab0-843a-df4b4ae13842,NO PROGRAMS :(
7f762f17-b526-4ffd-a7cb-aebe7faaba0c,good option esg finance
7f762f17-b526-4ffd-a7cb-aebe7faaba0c,good option esg finance
7f762f17-b526-4ffd-a7cb-aebe7faaba0c,good option esg finance
efb97843-d7c1-41ef-8560-8a75ee7f0369,he proposed innovation and sante not supply chain
b460cfe3-8515-4b9d-9724-596d4429b824,"False informations with the price, and it is giving schools that we don't work with"
d6abd36c-2813-44da-bc78-756f4f3ad856,He dosen't give all cities
735f0d4d-0ee2-478b-9f90-7ea47362a00c,He is giving me few choices from those available 
7994c4a1-e6a9-4fa7-bf29-c6140c2aa7fe,I think it's better when we ask for a 1 year program to propose Master Spécialisé
7458081b-db31-4820-87ab-1435d343da4f,Great feedback especially ESGCI great choice
7458081b-db31-4820-87ab-1435d343da4f,Great feedback especially ESGCI great choice
7791e43f-fd67-497c-b675-dd985b423207,bad
babfab69-9e23-4ebc-b41f-84fc915ada1c,good
624543bc-5e18-4a01-8ed3-8a7d2d1f7dac,good
624543bc-5e18-4a01-8ed3-8a7d2d1f7dac,bad
6d0602fa-d0be-4787-ad49-965b6625a8d7,not valid
6d0602fa-d0be-4787-ad49-965b6625a8d7,good
bbacb42e-7fdb-4935-80e7-eeea7290b0aa,
933f5636-b6c8-453d-b6be-d7ae6f4fbda9,
a523e576-1794-4688-b6dc-160a30290dc1,good
e1d19997-dfab-4f88-9f5c-b859815e9a03,
857ce53e-2c5a-4926-8d5b-8596a66aa757,Where are the school name ?
41afd458-b6e5-48f2-883d-8ce700494240,
39029bc9-a8a2-47c0-8322-003d6650ab26,
39029bc9-a8a2-47c0-8322-003d6650ab26,no
b9f90b46-d56e-4a0d-bfaf-e8d5763feb51,good
b9f90b46-d56e-4a0d-bfaf-e8d5763feb51,
357195b1-ee6b-4f73-8b68-a80214d02c2e,
c6b5effb-5b71-4081-b06d-de8fecf48485,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
60df0ea8-be17-4cab-ac39-fcf565d49bb0,"So many programs make no sense with the request, banking, sports etc.."
60df0ea8-be17-4cab-ac39-fcf565d49bb0,
